"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FClearLumenCardCapturePS","Global","SF_Pixel","1","1494"
"FClearLumenCardsPS","Global","SF_Pixel","2","2832"
"FClearMessageBufferCS","Global","SF_Compute","1","1539"
"FClearPageTableCS","Global","SF_Compute","3","14810"
"FClearPressureGridCS","Global","SF_Compute","1","2896"
"FClearProbeFreeList","Global","SF_Compute","1","2272"
"FClearProbeIndirectionCS","Global","SF_Compute","1","1584"
"FClearProbePDFs","Global","SF_Compute","1","1763"
"FClearRadianceCacheUpdateResourcesCS","Global","SF_Compute","1","2183"
"FClearReplacementCS_Buffer_Float4_Bounds","Global","SF_Compute","1","1969"
"FClearReplacementCS_Buffer_Float_Bounds","Global","SF_Compute","1","1935"
"FClearReplacementCS_Buffer_Sint4_Bounds","Global","SF_Compute","1","1882"
"FClearReplacementCS_Buffer_Uint","Global","SF_Compute","1","1699"
"FClearReplacementCS_Buffer_Uint4","Global","SF_Compute","1","1737"
"FClearReplacementCS_Buffer_Uint4_Bounds","Global","SF_Compute","1","1897"
"FClearReplacementCS_Buffer_Uint_Bounds","Global","SF_Compute","1","1866"
"FClearReplacementCS_Buffer_Uint_Zero","Global","SF_Compute","1","1526"
"FClearReplacementCS_LargeBuffer_Float4_Bounds","Global","SF_Compute","1","1970"
"FClearReplacementCS_LargeBuffer_Float_Bounds","Global","SF_Compute","1","1936"
"FClearReplacementCS_LargeBuffer_Sint4_Bounds","Global","SF_Compute","1","1892"
"FClearReplacementCS_LargeBuffer_Uint","Global","SF_Compute","1","1700"
"FClearReplacementCS_LargeBuffer_Uint4","Global","SF_Compute","1","1738"
"FClearReplacementCS_LargeBuffer_Uint4_Bounds","Global","SF_Compute","1","1907"
"FClearReplacementCS_LargeBuffer_Uint_Bounds","Global","SF_Compute","1","1875"
"FClearReplacementCS_StructuredBuffer_Float4_Bounds","Global","SF_Compute","1","1998"
"FClearReplacementCS_StructuredBuffer_Float_Bounds","Global","SF_Compute","1","1957"
"FClearReplacementCS_StructuredBuffer_Sint4_Bounds","Global","SF_Compute","1","1922"
"FClearReplacementCS_StructuredBuffer_Uint","Global","SF_Compute","1","1729"
"FClearReplacementCS_StructuredBuffer_Uint4","Global","SF_Compute","1","1758"
"FClearReplacementCS_StructuredBuffer_Uint4_Bounds","Global","SF_Compute","1","1937"
"FClearReplacementCS_StructuredBuffer_Uint_Bounds","Global","SF_Compute","1","1896"
"FClearReplacementCS_StructuredBuffer_Uint_Zero","Global","SF_Compute","1","1554"
"FClearReplacementCS_Texture2DArray_Float4","Global","SF_Compute","1","1762"
"FClearReplacementCS_Texture2DArray_Float4_Bounds","Global","SF_Compute","1","1933"
"FClearReplacementCS_Texture2DArray_Sint4_Bounds","Global","SF_Compute","1","1861"
"FClearReplacementCS_Texture2DArray_Uint","Global","SF_Compute","1","1732"
"FClearReplacementCS_Texture2DArray_Uint4","Global","SF_Compute","1","1760"
"FClearReplacementCS_Texture2DArray_Uint4_Bounds","Global","SF_Compute","1","1873"
"FClearReplacementCS_Texture2DArray_Uint_Zero","Global","SF_Compute","1","1550"
"FClearReplacementCS_Texture2D_Float4","Global","SF_Compute","1","1743"
"FClearReplacementCS_Texture2D_Float4_Bounds","Global","SF_Compute","1","1898"
"FClearReplacementCS_Texture2D_Sint4_Bounds","Global","SF_Compute","1","1826"
"FClearReplacementCS_Texture2D_Uint4","Global","SF_Compute","1","1748"
"FClearReplacementCS_Texture2D_Uint4_Bounds","Global","SF_Compute","1","1837"
"FClearReplacementCS_Texture3D_Float4","Global","SF_Compute","1","1745"
"FClearReplacementCS_Texture3D_Float4_Bounds","Global","SF_Compute","1","1925"
"FClearReplacementCS_Texture3D_Sint4_Bounds","Global","SF_Compute","1","1849"
"FClearReplacementCS_Texture3D_Uint4","Global","SF_Compute","1","1747"
"FClearReplacementCS_Texture3D_Uint4_Bounds","Global","SF_Compute","1","1860"
"FClearReplacementPS","Global","SF_Pixel","1","1700"
"FClearReplacementPS_128","Global","SF_Pixel","1","1700"
"FClearReplacementPS_Zero","Global","SF_Pixel","1","1337"
"FClearReplacementVS","Global","SF_Vertex","1","1507"
"FClearReplacementVS_Bounds","Global","SF_Vertex","1","1878"
"FClearReplacementVS_Depth","Global","SF_Vertex","1","1871"
"FClearResolvedLightingCS","Global","SF_Compute","1","2682"
"FClearStreamingRequestCount_CS","Global","SF_Compute","1","1588"
"FClearTemporalHistoryCS","Global","SF_Compute","1","2320"
"FClearTracesCS","Global","SF_Compute","1","1743"
"FClearTranslucentLightingVolumeCS","Global","SF_Compute","1","1922"
"FClearUAVBuildIndirectDispatchBufferCS","Global","SF_Compute","1","2134"
"FClearUAVCS","Global","SF_Compute","1","1931"
"FClearUAVRectsPS","Global","SF_Pixel","1","1961"
"FClearUIntGraphicPS","Global","SF_Pixel","3","4985"
"FClearVelocityGridCS","Global","SF_Compute","1","1819"
"FClearVolumetricShadowMapCS","Global","SF_Compute","1","2189"
"FCloudShadowFilterCS","Global","SF_Compute","2","5148"
"FCloudShadowTemporalProcessCS","Global","SF_Compute","1","3284"
"FClusteredShadingPS","Global","SF_Pixel","13","229679"
"FClusteredShadingVS","Global","SF_Vertex","1","2628"
"FCombineConeVisibilityCS","Global","SF_Compute","1","3174"
"FCombineFilteredImageCS","Global","SF_Compute","1","2459"
"FCombineObjectIndexBuffersCS","Global","SF_Compute","1","2043"
"FCombineShadingRateTexturesCS","Global","SF_Compute","1","1996"
"FCombineVolumetricShadowMapsCS","Global","SF_Compute","2","10106"
"FCompactCulledObjectsCS","Global","SF_Compute","4","8376"
"FCompactFeedbackHashTableCS","Global","SF_Compute","2","4869"
"FCompactLightSampleTracesCS","Global","SF_Compute","2","5761"
"FCompactLightTilesCS","Global","SF_Compute","1","2879"
"FCompactViewsVSM_CS","Global","SF_Compute","1","5234"
"FCompactVisibleInstancesCs","Global","SF_Compute","1","3139"
"FComplexFFTPassCS","Global","SF_Compute","1","3963"
"FComplexMultiplyImagesCS","Global","SF_Compute","1","2873"
"FComposeHeightfieldsIntoPagesCS","Global","SF_Compute","2","13115"
"FComposeMeshEdgesPS","Global","SF_Pixel","4","13953"
"FComposeSeparateTranslucencyPS","Global","SF_Pixel","2","7852"
"FComposeVolumetricRTOverScenePS","Global","SF_Pixel","64","716293"
"FCompositeAnimatedVectorFieldCS","Global","SF_Compute","1","3222"
"FCompositeCoreDilateShader","Global","SF_Compute","3","10752"
"FCompositeCoreDisplayTransformShader","Global","SF_Pixel","1","2672"
"FCompositeCoreMergeShader","Global","SF_Pixel","2","15357"
"FCompositeHDRForBlurPS","Global","SF_Pixel","2","7062"
"FCompositeHeightfieldsIntoObjectGridPagesCS","Global","SF_Compute","1","7296"
"FCompositeObjectsIntoObjectGridPagesCS","Global","SF_Compute","8","48961"
"FCompositeObjectsIntoPagesCS","Global","SF_Compute","16","92363"
"FCompositePS","Global","SF_Pixel","4","20771"
"FCompositePostProcessPrimitivesPS","Global","SF_Pixel","14","63594"
"FCompositeSkyLightPS","Global","SF_Pixel","1","2451"
"FCompressVolumetricShadowMapCS","Global","SF_Compute","1","3906"
"FComputeBrightnessPS","Global","SF_Pixel","1","2414"
"FComputeCubeMaxLuminancePS","Global","SF_Pixel","1","2348"
"FComputeCulledObjectStartOffsetCS","Global","SF_Compute","1","2512"
"FComputeCulledObjectsStartOffsetCS","Global","SF_Compute","1","2590"
"FComputeCulledTilesStartOffsetCS","Global","SF_Compute","1","2603"
"FComputeDistanceFieldAssetWantedMipsCS","Global","SF_Compute","1","3293"
"FComputeDistanceFieldNormalCS","Global","SF_Compute","1","2837"
"FComputeDistanceFieldNormalPS","Global","SF_Pixel","1","3041"
"FComputeExplicitChunkBounds_CS","Global","SF_Compute","1","6946"
"FComputeExplicitChunkDrawsViewMask_CS","Global","SF_Compute","1","2337"
"FComputeLightDirectionFromVolumetricLightmapCS","Global","SF_Compute","1","4840"
"FComputeLightTileOffsetsPerLightCS","Global","SF_Compute","2","5330"
"FComputeProbeWorldOffsetsCS","Global","SF_Compute","1","6248"
"FComputeSkyEnvMapDiffuseIrradianceCS","Global","SF_Compute","1","8075"
"FComputeVariableRateShadingImageGeneration","Global","SF_Compute","1","2129"
"FConeTraceScreenGridGlobalOcclusionCS","Global","SF_Compute","2","10886"
"FConeTraceScreenGridObjectOcclusionCS","Global","SF_Compute","4","28365"
"FConvertBeerLawShadowMapToVolumetricShadowMapCS","Global","SF_Compute","1","3757"
"FConvertTexture3DFixedPointToFloatCS","Global","SF_Compute","1","1902"
"FConvertVolumetricShadowMapToBeerLawShadowMapCS","Global","SF_Compute","1","2375"
"FConvertWorldSpaceNormalToCameraSpaceCS","Global","SF_Compute","1","2490"
"FConvolveSpecularFaceCS","Global","SF_Compute","1","4046"
"FCopyBackgroundVisibilityPS","Global","SF_Pixel","2","4114"
"FCopyCapturedCardPageCS","Global","SF_Compute","2","7863"
"FCopyCardCaptureLightingToAtlasPS","Global","SF_Pixel","4","13426"
"FCopyCompressCS","Global","SF_Compute","20","88368"
"FCopyCubemapToCubeFacePS","Global","SF_Pixel","1","2971"
"FCopyCubemapToIlluminanceMeterCubemapPS","Global","SF_Pixel","1","3065"
"FCopyDepthPS","Global","SF_Pixel","4","7998"
"FCopyDiffuseIrradiancePS","Global","SF_Pixel","1","2987"
"FCopyDistanceFieldAtlasCS","Global","SF_Compute","1","1882"
"FCopyDistanceFieldIndirectionAtlasCS","Global","SF_Compute","1","2250"
"FCopyEyeAdaptationToTextureCS","Global","SF_Compute","1","1869"
"FCopyIndirectBufferCS","Global","SF_Compute","1","2094"
"FCopyMaxIntoMajorantVoxelGridCS","Global","SF_Compute","1","1856"
"FCopyQuadsMultiSourcePSDefault","Global","SF_Pixel","2","15422"
"FCopyQuadsPS","Global","SF_Pixel","1","2157"
"FCopyRectPS","Global","SF_Pixel","1","2063"
"FCopyRectSrvPS","Global","SF_Pixel","1","2063"
"FCopySceneColorPS","Global","SF_Pixel","1","2312"
"FCopySceneColorTexturePS","Global","SF_Pixel","1","3362"
"FCopySceneColorToCubeFacePS","Global","SF_Pixel","1","3367"
"FCopyShadowMaps2DPS","Global","SF_Pixel","1","2226"
"FCopyShadowMapsCubeGS","Global","SF_Geometry","1","2373"
"FCopyShadowMapsCubePS","Global","SF_Pixel","1","2553"
"FCopyStencilToLightingChannelsPS","Global","SF_Pixel","2","5288"
"FCopyTexture3D","Global","SF_Compute","1","2130"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Float4","Global","SF_Compute","1","2209"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Int324","Global","SF_Compute","1","2192"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Uint324","Global","SF_Compute","1","2231"
"FCopyTextureCS_Texture2DArray_Texture2D_Float4","Global","SF_Compute","1","2198"
"FCopyTextureCS_Texture2DArray_Texture2D_Int324","Global","SF_Compute","1","2173"
"FCopyTextureCS_Texture2DArray_Texture2D_Uint324","Global","SF_Compute","1","2213"
"FCopyTextureCS_Texture2DArray_Texture3D_Float4","Global","SF_Compute","1","2201"
"FCopyTextureCS_Texture2DArray_Texture3D_Int324","Global","SF_Compute","1","2184"
"FCopyTextureCS_Texture2DArray_Texture3D_Uint324","Global","SF_Compute","1","2224"
"FCopyTextureCS_Texture2D_Texture2DArray_Float4","Global","SF_Compute","1","2191"
"FCopyTextureCS_Texture2D_Texture2DArray_Int324","Global","SF_Compute","1","2165"
"FCopyTextureCS_Texture2D_Texture2DArray_Uint324","Global","SF_Compute","1","2204"
"FCopyTextureCS_Texture2D_Texture2D_Float4","Global","SF_Compute","1","2170"
"FCopyTextureCS_Texture2D_Texture2D_Int324","Global","SF_Compute","1","2151"
"FCopyTextureCS_Texture2D_Texture2D_Uint324","Global","SF_Compute","1","2191"
"FCopyTextureCS_Texture2D_Texture3D_Float4","Global","SF_Compute","1","2166"
"FCopyTextureCS_Texture2D_Texture3D_Int324","Global","SF_Compute","1","2151"
"FCopyTextureCS_Texture2D_Texture3D_Uint324","Global","SF_Compute","1","2190"
"FCopyTextureCS_Texture3D_Texture2DArray_Float4","Global","SF_Compute","1","2194"
"FCopyTextureCS_Texture3D_Texture2DArray_Int324","Global","SF_Compute","1","2173"
"FCopyTextureCS_Texture3D_Texture2DArray_Uint324","Global","SF_Compute","1","2215"
"FCopyTextureCS_Texture3D_Texture2D_Float4","Global","SF_Compute","1","2166"
"FCopyTextureCS_Texture3D_Texture2D_Int324","Global","SF_Compute","1","2151"
"FCopyTextureCS_Texture3D_Texture2D_Uint324","Global","SF_Compute","1","2195"
"FCopyTextureCS_Texture3D_Texture3D_Float4","Global","SF_Compute","1","2180"
"FCopyTextureCS_Texture3D_Texture3D_Int324","Global","SF_Compute","1","2162"
"FCopyTextureCS_Texture3D_Texture3D_Uint324","Global","SF_Compute","1","2201"
"FCopyTexturePS","Global","SF_Pixel","1","2360"
"FCopyTextureSingleChannelCS","Global","SF_Compute","2","4909"
"FCopyTextureToBufferCS","Global","SF_Compute","4","9899"
"FCopyToCubeFaceVS","Global","SF_Vertex","1","2839"
"FCopyUIntBufferCS","Global","SF_Compute","1","2165"
"FCopyVelocityGridCS","Global","SF_Compute","1","1989"
"FCopyWindowCS","Global","SF_Compute","1","2583"
"FCreateSparseVoxelBLAS","Global","SF_Compute","1","2871"
"FCubeDownsampleMaxPS","Global","SF_Pixel","1","3077"
"FCubeDownsamplePS","Global","SF_Pixel","1","3579"
"FCubeFilterPS","Global","SF_Pixel","1","3831"
"FCubemapTexturePropertiesPS","Global","SF_Pixel","4","12938"
"FCubemapTexturePropertiesVS","Global","SF_Vertex","1","2561"
"FCullHeightfieldObjectsForViewCS","Global","SF_Compute","1","4039"
"FCullMeshSDFObjectsForViewCS","Global","SF_Compute","1","3908"
"FCullObjectsForShadowCS","Global","SF_Compute","2","6952"
"FCullObjectsForViewCS","Global","SF_Compute","1","4022"
"FCullObjectsToClipmapCS","Global","SF_Compute","2","6794"
"FCullObjectsToGridCS","Global","SF_Compute","1","3943"
"FCullPerPageDrawCommandsCs","Global","SF_Compute","16","305882"
"FDebugAlphaChannelCS","Global","SF_Compute","1","2911"
"FDebugHairTangentCS","Global","SF_Compute","1","8938"
"FDebugTranslucencyLightingVolumeCS","Global","SF_Compute","1","18783"
"FDebugVariableRateShadingCS","Global","SF_Compute","1","2509"
"FDebugVariableRateShadingPS","Global","SF_Pixel","1","2305"
"FDebugVisualizeVirtualSmCS","Global","SF_Compute","1","4210"
"FDeepShadowCreateViewInfoCS","Global","SF_Compute","1","11816"
"FDeepShadowInfoCS","Global","SF_Compute","1","38183"
"FDeepShadowVisualizePS","Global","SF_Pixel","2","5213"
"FDefaultCallableShader","Global","SF_RayCallable","1","1433"
"FDefaultHiddenMeshDecalHitGroup","Global","SF_RayHitGroup","1","2004"
"FDefaultIOProcessCS","Global","SF_Compute","4","8775"
"FDefaultOpaqueMeshDecalHitGroup","Global","SF_RayHitGroup","1","1928"
"FDefaultPayloadMS","Global","SF_RayMiss","1","1448"
"FDeferredDecalVS","Global","SF_Vertex","1","2090"
"FDeferredLightHairVS","Global","SF_Vertex","1","2589"
"FDeferredLightOverlapPS","Global","SF_Pixel","2","6198"
"FDeferredLightPS","Global","SF_Pixel","658","15160864"
"FDeferredLightVS","Global","SF_Vertex","2","6094"
"FDeformGuideCS","Global","SF_Compute","5","14812"
"FDenoiserSpatialCS","Global","SF_Compute","6","48324"
"FDenoiserTemporalCS","Global","SF_Compute","12","126014"
"FDepthDecodeCS","Global","SF_Compute","1","1081"
"FDepthExportCS","Global","SF_Compute","1","1081"
"FDesaturatePS","Global","SF_Pixel","1","2115"
"FDeviceEncodingOnlyCS","Global","SF_Compute","4","36675"
"FDeviceEncodingOnlyPS","Global","SF_Pixel","4","36094"
"FDiaphragmDOFBuildBokehLUTCS","Global","SF_Compute","6","13762"
"FDiaphragmDOFCocDilateCS","Global","SF_Compute","9","57785"
"FDiaphragmDOFCocFlattenCS","Global","SF_Compute","4","13732"
"FDiaphragmDOFDownsampleCS","Global","SF_Compute","2","6869"
"FDiaphragmDOFGatherCS","Global","SF_Compute","82","1048176"
"FDiaphragmDOFHybridScatterPS","Global","SF_Pixel","12","54321"
"FDiaphragmDOFHybridScatterVS","Global","SF_Vertex","2","7320"
"FDiaphragmDOFPostfilterCS","Global","SF_Compute","8","28014"
"FDiaphragmDOFRecombineCS","Global","SF_Compute","42","320094"
"FDiaphragmDOFReduceCS","Global","SF_Compute","21","134699"
"FDiaphragmDOFScatterGroupPackCS","Global","SF_Compute","3","7804"
"FDiaphragmDOFSetupCS","Global","SF_Compute","6","28217"
"FDiffuseIndirectCompositePS","Global","SF_Pixel","57","546675"
"FDilateExistenceMaskCS","Global","SF_Compute","1","2245"
"FDispatchShaderBundleWorkGraph","Global","SF_WorkGraphComputeNode","1","2820"
"FDistanceFieldAOUpsamplePS","Global","SF_Pixel","2","7489"
"FDistanceFieldShadowingCS","Global","SF_Compute","360","3029121"
"FDistanceFieldShadowingUpsamplePS","Global","SF_Pixel","2","6904"
"FDistortionApplyScreenPS","Global","SF_Pixel","4","14108"
"FDistortionMergeScreenPS","Global","SF_Pixel","4","9811"
"FDitheredTransitionStencilCS","Global","SF_Compute","1","2121"
"FDitheredTransitionStencilPS","Global","SF_Pixel","1","1960"
"FDownsampleCS","Global","SF_Compute","2","5160"
"FDownsampleCubeFaceCS","Global","SF_Compute","1","3467"
"FDownsampleDepthPS","Global","SF_Pixel","3","7903"
"FDownsampleIntegrateCubemapIlluminancePS","Global","SF_Pixel","1","2988"
"FDownsampleLightShaftsPixelShader","Global","SF_Pixel","2","6333"
"FDownsampleLightShaftsVertexShader","Global","SF_Vertex","1","2887"
"FDownsampleMajorantVoxelGridCS","Global","SF_Compute","1","2911"
"FDownsamplePS","Global","SF_Pixel","2","5082"
"FDownsampleSceneColorCS","Global","SF_Compute","1","2288"
"FDrawBricksPS","Global","SF_Pixel","1","4645"
"FDrawBricksVS","Global","SF_Vertex","1","5120"
"FDrawDebugCardAtlasCS","Global","SF_Compute","1","2479"
"FDrawDebugCardGuidesCS","Global","SF_Compute","1","4365"
"FDrawDebugCloudShadowCS","Global","SF_Compute","1","4225"
"FDrawDebugClusterAABBCS","Global","SF_Compute","1","32767"
"FDrawDebugStrandsCVsCS","Global","SF_Compute","1","9495"
"FDrawShadowCastersFalseColor","Global","SF_Pixel","1","4427"
"FDrawTexturePS","Global","SF_Pixel","1","2221"
"FDumpTextureCS","Global","SF_Compute","3","5565"
"FEmitCubemapShadowGS","Global","SF_Geometry","1","2218"
"FEmitCubemapShadowPS","Global","SF_Pixel","1","2038"
"FEmitCubemapShadowVS","Global","SF_Vertex","2","3621"
"FEmitCustomDepthStencilPS","Global","SF_Pixel","2","6149"
"FEmitEditorSelectionDepthPS","Global","SF_Pixel","4","15634"
"FEmitHitProxyIdPS","Global","SF_Pixel","1","4521"
"FEmitSceneDepthPS","Global","SF_Pixel","6","51997"
"FEmitSceneStencilPS","Global","SF_Pixel","1","2301"
"FEmitShadowMapPS","Global","SF_Pixel","3","6952"
"FExponentialHeightFogPS","Global","SF_Pixel","32","225601"
"FExportDebugViewPS","Global","SF_Pixel","4","42075"
"FExrSwizzlePS","Global","SF_Pixel","12","40763"
"FExrSwizzleVS","Global","SF_Vertex","1","2291"
"FExtractVSMPerformanceFeedbackCS","Global","SF_Compute","1","3244"
